Pathogen_Intermediate,Pathogen,taxid,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass
Bordetella avium,Bordetella avium,521,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Borna disease virus,Borna disease virus,12455,NA,Bornaviridae,Mononegavirales,Monjiviricetes
Borrelia anserina,Borrelia anserina,143,Borrelia,Borreliaceae,Spirochaetales,Spirochaetia
Brachyspira alvinipulli,Brachyspira alvinipulli,84379,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,159,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brachyspira innocens,Brachyspira innocens,13264,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brachyspira intermedia,Brachyspira intermedia,84377,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brachyspira pilosicoli,Brachyspira pilosicoli,52584,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brachyspira pulli,Brachyspira pulli,310721,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brachyspira suanatina,Brachyspira suanatina,381802,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Cellulosimicrobium funkei,Cellulosimicrobium funkei,264251,Cellulosimicrobium,Promicromonosporaceae,Micrococcales,Actinomycetia
Chicken astrovirus,Chicken astrovirus,336959,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Coenonia anatina,Coenonia anatina,78329,Coenonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
Cryptosporidium baileyi,Cryptosporidium baileyi,27987,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
Duck circovirus,Duck circovirus,324685,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Duck parvovirus,Duck parvovirus,341673,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Enterococcus cecorum,Enterococcus cecorum,44008,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Gallibacterium anatis,Gallibacterium anatis,750,Gallibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Gallibacterium salpingitidis,Gallibacterium salpingitidis,505341,Gallibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Goose parvovirus,Goose parvovirus,38251,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Leucocytozoon simondi,Leucocytozoon simondi,195948,Leucocytozoon,Leucocytozoidae,Haemosporida,Aconoidasida
Megamonas hypermegale,Megamonas hypermegale,158847,Megamonas,Selenomonadaceae,Selenomonadales,Negativicutes
Mycoplasma anatis,Mycoplasma anatis,171279,Mycoplasmopsis,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Psilochasmus oxyurus,Psilochasmus oxyurus,99736,Psilochasmus,Psilostomidae,Plagiorchiida,Trematoda
Reticuloendotheliosis virus,Reticuloendotheliosis virus,11636,Gammaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
Riemerella anatipestifer,Riemerella anatipestifer,34085,Riemerella,Weeksellaceae,Flavobacteriales,Flavobacteriia
Sarcocystis rileyi,Sarcocystis rileyi,805401,Sarcocystis,Sarcocystidae,Eucoccidiorida,Conoidasida
Streptococcus pasteurianus,Streptococcus pasteurianus,197614,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Tanaisia fedtschenkoi,Tanaisia fedtschenkoi,197552,Tanaisia,Eucotylidae,Plagiorchiida,Trematoda
Tembusu virus,Tembusu virus,64293,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Turkey astrovirus,Turkey astrovirus,70793,Avastrovirus,Astroviridae,Stellavirales,Stelpaviricetes
Urogonimus macrostomus,Urogonimus macrostomus,232590,Urogonimus,Leucochloridiidae,Diplostomida,Trematoda
Veillonella parvula,Veillonella parvula,29466,Veillonella,Veillonellaceae,Veillonellales,Negativicutes
Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,633,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Schistogonimus rarus,Schistogonimus rarus,197550,Schistogonimus,Prosthogonimidae,Plagiorchiida,Trematoda
Giardia intestinalis,Giardia intestinalis,5741,Giardia,Hexamitidae,Diplomonadida,NA
Clostridium perfringens,Clostridium perfringens,1502,Clostridium,Clostridiaceae,Eubacteriales,Clostridia
Moraxella cuniculi,Moraxella cuniculi,34061,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Cochlosoma anatis,Cochlosoma anatis,227314,Cochlosoma,Trichomonadidae,Trichomonadida,NA
Salmonella enterica subsp. enterica,Salmonella enterica subsp. enterica,59201,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Trichobilharzia physellae,Trichobilharzia physellae,596246,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
Yersinia kristensenii,Yersinia kristensenii,28152,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria
Actinobacillus suis,Actinobacillus suis,716,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Helicobacter anseris,Helicobacter anseris,375926,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Helicobacter brantae,Helicobacter brantae,375927,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Helicobacter canadensis,Helicobacter canadensis,123841,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
Pseudocorynosoma anatarium,Pseudocorynosoma anatarium,500318,Pseudocorynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala
Anseriform dependoparvovirus 1,Anseriform dependoparvovirus 1,1511895,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Trichobilharzia brantae,Anserobilharzia brantae,1386343,Anserobilharzia,Schistosomatidae,Strigeidida,Trematoda
Allobilharzia visceralis,Allobilharzia visceralis,431770,Allobilharzia,Schistosomatidae,Strigeidida,Trematoda
Sarconema eurycerca,Sarconema eurycerca,496054,Sarconema,Onchocercidae,Rhabditida,Chromadorea
Dendritobilharzia pulverulenta,Dendritobilharzia pulverulenta,100592,Dendritobilharzia,Schistosomatidae,Strigeidida,Trematoda
Orchipedum tracheicola,Orchipedum tracheicola,116916,Orchipedum,Orchipedidae,Plagiorchiida,Trematoda
Swan circovirus,Swan circovirus,459957,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Wardoides nyrocae,Wardoides nyrocae,116966,Wardoides,Hymenolepididae,Cyclophyllidea,Cestoda
Profilicollis altmani,Profilicollis altmani,317570,Profilicollis,Polymorphidae,Polymorphida,Palaeacanthocephala
Trichobilharzia stagnicolae,Trichobilharzia stagnicolae,596254,Trichobilharzia,Schistosomatidae,Strigeidida,Trematoda
Echinuria borealis,Echinuria borealis,435723,Echinuria,Acuariidae,Rhabditida,Chromadorea
Profilicollis botulus,Profilicollis botulus,449646,Profilicollis,Polymorphidae,Polymorphida,Palaeacanthocephala
Babesia kiwiensis,Babesia kiwiensis,460163,Babesia,Babesiidae,Piroplasmida,Aconoidasida
Yaounde virus,Yaounde virus,64319,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Enterococcus phoeniculicola,Enterococcus phoeniculicola,154621,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Flanders virus,Flanders hapavirus,1972612,Hapavirus,Rhabdoviridae,Mononegavirales,Monjiviricetes
Cryptosporidium muris,Cryptosporidium muris,5808,Cryptosporidium,Cryptosporidiidae,Eucoccidiorida,Conoidasida
Burkholderia pseudomallei,Burkholderia pseudomallei,28450,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria
Raillietina australis,Raillietina australis,137598,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Raillietina beveridgei,Raillietina beveridgei,246973,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Raillietina chiltoni,Raillietina chiltoni,246975,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Raillietina dromaius,Raillietina dromaius,246974,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Raillietina mitchelli,Raillietina mitchelli,246976,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Everglades virus,Everglades virus,2083198,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Mycoplasma corogypsi,Mycoplasma corogypsi,2106,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus,11036,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Cyclocoelum mutabile,Cyclocoelum mutabile,116783,Cyclocoelum,Cyclocoelidae,Plagiorchiida,Trematoda
Borrelia garinii,Borreliella garinii,29519,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia
Campylobacter volucris,Campylobacter volucris,1031542,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Cardiocephaloides longicollis,Cardiocephaloides longicollis,232594,Cardiocephaloides,Strigeidae,Diplostomida,Trematoda
Corriparta virus,Corriparta virus,40053,Orbivirus,Reoviridae,Reovirales,Resentoviricetes
Edwardsiella hoshinae,Edwardsiella hoshinae,93378,Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria
Sakhalin nairovirus,Sakhalin orthonairovirus,1980528,Orthonairovirus,Nairoviridae,Bunyavirales,Ellioviricetes
Tyuleniy virus,Tyuleniy virus,40004,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Dhori virus,Dhori thogotovirus,11318,Thogotovirus,Orthomyxoviridae,Articulavirales,Insthoviricetes
Gull circovirus,Gull circovirus,400121,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Meaban virus,Meaban virus,35279,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Tetrabothrius erostris,Tetrabothrius erostris,70678,Tetrabothrius,Tetrabothriidae,Tetrabothriidea,Cestoda
Thiafora nairovirus,Thiafora orthonairovirus,1980529,Orthonairovirus,Nairoviridae,Bunyavirales,Ellioviricetes
Babesia bennetti,Babesia bennetti,359660,Babesia,Babesiidae,Piroplasmida,Aconoidasida
Midway nyavirus,Midway nyavirus,644609,Nyavirus,Nyamiviridae,Mononegavirales,Monjiviricetes
Austrobilharzia variglandis,Austrobilharzia variglandis,100588,Austrobilharzia,Schistosomatidae,Strigeidida,Trematoda
Catellicoccus marimammalium,Catellicoccus marimammalium,300419,Catellicoccus,Enterococcaceae,Lactobacillales,Bacilli
Ornithobilharzia canaliculata,Ornithobilharzia canaliculata,100598,Ornithobilharzia,Schistosomatidae,Strigeidida,Trematoda
Hughes nairovirus,Hughes orthonairovirus,1980523,Orthonairovirus,Nairoviridae,Bunyavirales,Ellioviricetes
Uukuniemi virus,Uukuniemi virus,11591,Uukuvirus,Phenuiviridae,Bunyavirales,Ellioviricetes
Chlamydophila abortus,Chlamydia abortus,83555,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Corynebacterium pelargi,Corynebacterium pelargi,1471400,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia
Corynebacterium trachiae,Corynebacterium trachiae,1471401,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia
Rhizopus oryzae,Rhizopus oryzae,64495,Rhizopus,Rhizopodaceae,Mucorales,Mucoromycetes
Corynebacterium ciconiae,Corynebacterium ciconiae,227319,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia
Ascaridia columbae,Ascaridia columbae,65462,Ascaridia,Ascaridiidae,Rhabditida,Chromadorea
Chlamydia avium,Chlamydia avium,1457141,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Chlamydia pecorum,Chlamydia pecorum,85991,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
Cryptococcus neoformans,Cryptococcus neoformans,5207,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes
Enterococcus columbae,Enterococcus columbae,1355,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Haemoproteus columbae,Haemoproteus columbae,77522,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
Molluscum contagiosum virus,Molluscum contagiosum virus,10279,Molluscipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Mycoplasma columborale,Mycoplasma columborale,171282,Mycoplasmopsis,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Pelistega europaea,Pelistega europaea,106147,Pelistega,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Pigeon circovirus,Pigeon circovirus,1414603,Circovirus,Circoviridae,Cirlivirales,Arfiviricetes
Pigeonpox virus,Pigeonpox virus,10264,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Psychrobacter faecalis,Psychrobacter faecalis,180588,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
Raillietina micracantha,Raillietina micracantha,227345,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Riemerella columbina,Riemerella columbina,103810,Riemerella,Weeksellaceae,Flavobacteriales,Flavobacteriia
Salmonella bongori,Salmonella bongori,54736,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Staphylococcus delphini,Staphylococcus delphini,53344,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
Staphylococcus intermedius,Staphylococcus intermedius,1285,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
Streptococcus equinus,Streptococcus equinus,1335,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Streptococcus gallolyticus,Streptococcus gallolyticus,315405,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
Toxoplasma gondii,Toxoplasma gondii,5811,Toxoplasma,Sarcocystidae,Eucoccidiorida,Conoidasida
Trichomonas gallinae,Trichomonas gallinae,56777,Trichomonas,Trichomonadidae,Trichomonadida,NA
Trueperella pyogenes,Trueperella pyogenes,1661,Trueperella,Actinomycetaceae,Actinomycetales,Actinomycetia
Bagaza virus,Bagaza virus,64290,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Una virus,Una virus,59304,Alphavirus,Togaviridae,Martellivirales,Alsuviricetes
Ilheus virus,Ilheus virus,59563,Flavivirus,Flaviviridae,Amarillovirales,Flasuviricetes
Mycobacterium genavense,Mycobacterium genavense,36812,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Plasmodium rouxi,Plasmodium rouxi,215558,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
Raillietina tunetensis,Raillietina tunetensis,545069,Raillietina,Davaineidae,Cyclophyllidea,Cestoda
Haemoproteus turtur,Haemoproteus turtur,379411,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
Mycoplasma gallisepticum,Mycoplasma gallisepticum,2096,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Plasmodium relictum,Plasmodium relictum,85471,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
Enterococcus alcedinis,Enterococcus alcedinis,1274384,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
Haemoproteus enucleator,Haemoproteus enucleator,337236,Haemoproteus,Haemoproteidae,Haemosporida,Aconoidasida
Aichi virus,Aichi virus 1,1313215,Kobuvirus,Picornaviridae,Picornavirales,Pisoniviricetes
Nosema ceranae,Nosema ceranae,40302,Nosema,Nosematidae,NA,NA
Mycobacterium simiae,Mycobacterium simiae,1784,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia
Plasmodium cuculus,Plasmodium cuculus,215541,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
Listeria monocytogenes,Listeria monocytogenes,1639,Listeria,Listeriaceae,Bacillales,Bacilli
Mycoplasma buteonis,Mycoplasma buteonis,171280,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Escherichia albertii,Escherichia albertii,208962,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Salmonella enterica subsp. houtenae,Salmonella enterica subsp. houtenae,59205,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria
Taenia taeniaeformis,Hydatigera taeniaeformis,6205,Hydatigera,Taeniidae,Cyclophyllidea,Cestoda
Choanotaenia infundibulum,Choanotaenia infundibulum,227339,Choanotaenia,Dilepididae,Cyclophyllidea,Cestoda
Lyruterina nigropunctata,Lyruterina nigropunctata,227342,Lyruterina,Paruterinidae,Cyclophyllidea,Cestoda
Mycoplasma gallinaceum,Mycoplasma gallinaceum,29556,Mycoplasmopsis,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Mycoplasma synoviae,Mycoplasma synoviae,2109,Mycoplasmopsis,Mycoplasmataceae,Mycoplasmatales,Mollicutes
Gallid herpesvirus 1,Gallid alphaherpesvirus 1,10386,Iltovirus,Herpesviridae,Herpesvirales,Herviviricetes
Avian leukosis virus,Avian leukosis virus,11864,Alpharetrovirus,Retroviridae,Ortervirales,Revtraviricetes
Gallid herpesvirus 3,Gallid alphaherpesvirus 3,35250,Mardivirus,Herpesviridae,Herpesvirales,Herviviricetes
Clostridium colinum,[Clostridium] colinum,36835,NA,NA,NA,NA
Eubacterium tortuosum,Absiella tortuosum,39494,Absiella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
Fuhrmannetta malakartis,Fuhrmannetta malakartis,545389,Fuhrmannetta,Davaineidae,Cyclophyllidea,Cestoda
Quailpox virus,Quailpox virus,400570,Avipoxvirus,Poxviridae,Chitovirales,Pokkesviricetes
Avibacterium paragallinarum,Avibacterium paragallinarum,728,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Plasmodium juxtanucleare,Plasmodium juxtanucleare,111598,Plasmodium,Plasmodiidae,Haemosporida,Aconoidasida
Dyoepsilonpapillomavirus 1,Dyoepsilonpapillomavirus 1,1177765,Dyoepsilonpapillomavirus,Papillomaviridae,Zurhausenvirales,Papovaviricetes
Leucocytozoon macleani,Leucocytozoon macleani,393990,Leucocytozoon,Leucocytozoidae,Haemosporida,Aconoidasida
Acholeplasma equifetale,Acholeplasma equifetale,264634,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes
Acholeplasma laidlawii,Acholeplasma laidlawii,2148,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes
Alcaligenes faecalis,Alcaligenes faecalis,511,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Anaerostipes butyraticus,Anaerostipes butyraticus,645466,Anaerostipes,Lachnospiraceae,Eubacteriales,Clostridia
Arcobacter cibarius,Arcobacter cibarius,255507,Aliarcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Arthroderma simii,Trichophyton simii,63406,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes
Ascaridia galli,Ascaridia galli,46685,Ascaridia,Ascaridiidae,Rhabditida,Chromadorea
Avian adeno-associated virus,Avian adeno-associated virus,341671,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Avian dependoparvovirus 1,Avian dependoparvovirus 1,1511894,Dependoparvovirus,Parvoviridae,Piccovirales,Quintoviricetes
Avian myeloblastosis virus,Avian myeloblastosis virus,11866,Alpharetrovirus,Retroviridae,Ortervirales,Revtraviricetes
Avian myelocytomatosis virus 29,Avian myelocytomatosis virus 29,11868,Alpharetrovirus,Retroviridae,Ortervirales,Revtraviricetes
Avibacterium avium,Avibacterium avium,751,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Avibacterium endocarditidis,Avibacterium endocarditidis,380674,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Avibacterium gallinarum,Avibacterium gallinarum,755,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Avibacterium volantium,Avibacterium volantium,762,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
Bacillus coagulans,Weizmannia coagulans,1398,Weizmannia,Bacillaceae,Bacillales,Bacilli
Bacteroides barnesiae,Phocaeicola barnesiae,376804,Phocaeicola,NA,Bacteroidales,Bacteroidia
Bacteroides gallinarum,Bacteroides gallinarum,376806,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia
Bacteroides salanitronis,Phocaeicola salanitronis,376805,Phocaeicola,NA,Bacteroidales,Bacteroidia
Bacteroides vulgatus,Phocaeicola vulgatus,821,Phocaeicola,NA,Bacteroidales,Bacteroidia
Barnesiella viscericola,Barnesiella viscericola,397865,Barnesiella,Barnesiellaceae,Bacteroidales,Bacteroidia
Bifidobacterium gallinarum,Bifidobacterium pullorum subsp. gallinarum,78344,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
Bifidobacterium pullorum,Bifidobacterium pullorum,78448,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia
Bordetella hinzii,Bordetella hinzii,103855,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria
Borrelia duttonii,Borrelia duttonii,40834,Borrelia,Borreliaceae,Spirochaetales,Spirochaetia
Brachyspira murdochii,Brachyspira murdochii,84378,Brachyspira,Brachyspiraceae,Brachyspirales,Spirochaetia
Brevibacterium avium,Brevibacterium avium,83828,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinomycetia
Butyricicoccus pullicaecorum,Butyricicoccus pullicaecorum,501571,Butyricicoccus,Clostridiaceae,Eubacteriales,Clostridia
Campylobacter avium,Campylobacter avium,522485,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Campylobacter coli,Campylobacter coli,195,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Campylobacter lari,Campylobacter lari,201,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
Candida galli,Yarrowia galli,197054,Yarrowia,Dipodascaceae,Saccharomycetales,Saccharomycetes
Chick syncytial virus,Chick syncytial virus,353768,Gammaretrovirus,Retroviridae,Ortervirales,Revtraviricetes
Chicken anemia virus,Chicken anemia virus,12618,Gyrovirus,Anelloviridae,NA,NA
Chlamydia gallinacea,Chlamydia gallinacea,1457153,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia
